"Nama Game","Ukuran","Lokasi"
"Accurate Accounting Enterprise 4.2.15","35.32 MB","https://drive.google.com/file/d/1mFV_4YpfKUUPRH2SricwqbWnvY6VtYUL/view?usp=drive_link"
"Accurate Accounting Enterprise 5.0.22.1903","57.94 MB","https://drive.google.com/file/d/1PeMGCAonHmVuL_toNevYOwXdmPpw5ehN/view?usp=drive_link"
"Reset Epson ET-2500 ET-2550 (EAI)","3.97 MB","cgi/bin/assets/files/Reset Epson ET-2500 ET-2550 (EAI).zip"
"Reset-Epson-1430W-EAI","13.84 MB","cgi/bin/assets/files/Reset-Epson-1430W-EAI.zip"
"ResetEpson.XP-520-620-625-720-760-820-860","1.45 MB","cgi/bin/assets/files/ResetEpson.XP-520-620-625-720-760-820-860.rar"
"Resetter Epson L3150 L3160 L1110 L5190","4.02 MB","cgi/bin/assets/files/Resetter Epson L3150 L3160 L1110 L5190.zip"
"Resetter Epson WF-7210 WF-7710 WF-7715 WF-7720","4.14 MB","cgi/bin/assets/files/Resetter Epson WF-7210 WF-7710 WF-7715 WF-7720.zip"
"Resetter Epson XP-235-235A-332-335-332A-432-435","1.16 MB","cgi/bin/assets/files/Resetter Epson XP-235-235A-332-335-332A-432-435.zip"
"Resetter Epson.L605","6.77 MB","cgi/bin/assets/files/Resetter Epson.L605.zip"
"Resetter.Epson.ET-4550","3.69 MB","cgi/bin/assets/files/Resetter.Epson.ET-4550.rar"
"Resetter.EPSON.L1210.L1211.L1216.L1250.L1251.L1256.L3210.L3211.L3216.L3250.L3251.L3256.L5290.L5296","2.15 MB","cgi/bin/assets/files/Resetter.EPSON.L1210.L1211.L1216.L1250.L1251.L1256.L3210.L3211.L3216.L3250.L3251.L3256.L5290.L5296.rar"
"Resetter.Epson.XP-255 XP-257 XP-352 XP-355 XP-452 XP-455","6.01 MB","cgi/bin/assets/files/Resetter.Epson.XP-255 XP-257 XP-352 XP-355 XP-452 XP-455.rar"
"ResetterEpson.ET-1810.ET-2800.ET-2803.ET-2810.ET-2811.ET-2812.ET-2814.ET-2815.ET-2820.ET-2821.ET-2825.ET-2826.ET-4800","9.92 MB","cgi/bin/assets/files/ResetterEpson.ET-1810.ET-2800.ET-2803.ET-2810.ET-2811.ET-2812.ET-2814.ET-2815.ET-2820.ET-2821.ET-2825.ET-2826.ET-4800.rar"
"ResetterEpson.ET-2710.ET-2711.ET-4700","4.00 MB","cgi/bin/assets/files/ResetterEpson.ET-2710.ET-2711.ET-4700.rar"
"ResetterEpson.ET-2850.ET-2850U.ST-C2100","7.90 MB","cgi/bin/assets/files/ResetterEpson.ET-2850.ET-2850U.ST-C2100.rar"
"ResetterEpson.ET-8700-WF-C5210-C5290-C5710-C5790","7.92 MB","cgi/bin/assets/files/ResetterEpson.ET-8700-WF-C5210-C5290-C5710-C5790.rar"
"ResetterEpson.ET2600 ET2650","3.83 MB","cgi/bin/assets/files/ResetterEpson.ET2600 ET2650.rar"
"ResetterEpson.L11050","8.23 MB","cgi/bin/assets/files/ResetterEpson.L11050.rar"
"ResetterEpson.L120.L121","1.93 MB","cgi/bin/assets/files/ResetterEpson.L120.L121.rar"
"ResetterEpson.L1210-L3210-L3250-L3251-L3260-L5290","4.13 MB","cgi/bin/assets/files/ResetterEpson.L1210-L3210-L3250-L3251-L3260-L5290.rar"
"ResetterEpson.L14150.L14158","2.17 MB","cgi/bin/assets/files/ResetterEpson.L14150.L14158.rar"
"ResetterEpson.L1455","1.94 MB","cgi/bin/assets/files/ResetterEpson.L1455.rar"
"ResetterEpson.L15150.L11160.WF-7830","9.44 MB","cgi/bin/assets/files/ResetterEpson.L15150.L11160.WF-7830.rar"
"ResetterEpson.L15150","9.43 MB","cgi/bin/assets/files/ResetterEpson.L15150.rar"
"ResetterEpson.L15160_L15180","4.97 MB","cgi/bin/assets/files/ResetterEpson.L15160_L15180.rar"
"ResetterEpson.L3050.L3070","2.12 MB","cgi/bin/assets/files/ResetterEpson.L3050.L3070.rar"
"ResetterEpson.L3060","13.07 MB","cgi/bin/assets/files/ResetterEpson.L3060.rar"
"ResetterEpson.L3110-L1110-L5190","6.64 MB","cgi/bin/assets/files/ResetterEpson.L3110-L1110-L5190.rar"
"ResetterEpson.L3110","4.02 MB","cgi/bin/assets/files/ResetterEpson.L3110.rar"
"ResetterEpson.L3118.L3119","4.00 MB","cgi/bin/assets/files/ResetterEpson.L3118.L3119.rar"
"ResetterEpson.L3150","5.62 MB","cgi/bin/assets/files/ResetterEpson.L3150.rar"
"ResetterEpson.L3550.L3556.L5590","7.96 MB","cgi/bin/assets/files/ResetterEpson.L3550.L3556.L5590.rar"
"ResetterEpson.L382.L386.L486","1.83 MB","cgi/bin/assets/files/ResetterEpson.L382.L386.L486.rar"
"ResetterEpson.L5190","5.41 MB","cgi/bin/assets/files/ResetterEpson.L5190.rar"
"ResetterEpson.L6260_L6270_L6290","1.96 MB","cgi/bin/assets/files/ResetterEpson.L6260_L6270_L6290.rar"
"ResetterEpson.M1100-M1120.V10","3.98 MB","cgi/bin/assets/files/ResetterEpson.M1100-M1120.V10.rar"
"ResetterEpson.M1140.M1170.M1180.M2140.M2170.M3140.M3170.M3180","10.23 MB","cgi/bin/assets/files/ResetterEpson.M1140.M1170.M1180.M2140.M2170.M3140.M3170.M3180.rar"
"ResetterEpson.R1800","471 KB","cgi/bin/assets/files/ResetterEpson.R1800.rar"
"ResetterEpson.SC-P600","2.87 MB","cgi/bin/assets/files/ResetterEpson.SC-P600.rar"
"ResetterEpson.SP.1410","912 KB","cgi/bin/assets/files/ResetterEpson.SP.1410.rar"
"ResetterEpson.SX230_SX235W","9.42 MB","cgi/bin/assets/files/ResetterEpson.SX230_SX235W.rar"
"ResetterEpson.SX235","3.05 MB","cgi/bin/assets/files/ResetterEpson.SX235.rar"
"ResetterEpson.WF-2760","2.98 MB","cgi/bin/assets/files/ResetterEpson.WF-2760.rar"
"ResetterEpson.WF-M5799","5.14 MB","cgi/bin/assets/files/ResetterEpson.WF-M5799.rar"
"ResetterEpson.XP-15000","8.25 MB","cgi/bin/assets/files/ResetterEpson.XP-15000.rar"
"ResetterEpson.XP-211.XP-214.XP-411","1.89 MB","cgi/bin/assets/files/ResetterEpson.XP-211.XP-214.XP-411.rar"
"ResetterEpson.XP-235-235A-332-332A-335-432-435","2.34 MB","cgi/bin/assets/files/ResetterEpson.XP-235-235A-332-332A-335-432-435.rar"
"ResetterEpson.XP-520.XP-620.XP-720.XP-760.XP-820.XP-860","2.28 MB","cgi/bin/assets/files/ResetterEpson.XP-520.XP-620.XP-720.XP-760.XP-820.XP-860.rar"
"ResetterEpson.XP-7100","8.17 MB","cgi/bin/assets/files/ResetterEpson.XP-7100.rar"
"Resetter_Epson_M1100_M1120(V10)","3.99 MB","cgi/bin/assets/files/Resetter_Epson_M1100_M1120(V10).zip"
"Reset_Epson_WF3520_WF-3540","852 KB","cgi/bin/assets/files/Reset_Epson_WF3520_WF-3540.zip"
"Reset_Epson_WF3720_WF-3723","4.00 MB","cgi/bin/assets/files/Reset_Epson_WF3720_WF-3723.zip"
"SID.Retail.Pro.v6.1.2.7","33.18 MB","https://drive.google.com/file/d/1UpXf0ShcwFUdpg_3rrenULcXKW9kVLvk/view?usp=drive_link"

